option,SKU,SNSMU,SNSMU-NP,SNSMP,SNSMP-NP,SNSMR,SNSMR-NP,SNM3U,SNM3U-NP,SNM3P,SNM3P-NP,SNM3R,SNM3R-NP,SNM4U,SNM4U-NP,SNM4P,SNM4P-NP,SNM4R,SNM4R-NP,SNM5U,SNM5U-NP,SNM5P,SNM5P-NP,SNM5R,SNM5R-NP,EPSMR,EPSMR-NP,EPM4R,EPM4R-NP,SPSMR,SPSMR-NP,SPM4R,SPM4R-NP
20 m /  65.61 ft,020M,$41.83,$46.67,$24.00,$28.00,$20.84,$25.68,$38.00,$40.00,$34.00,$36.00,$29.20,$31.20,$44.00,$46.00,$40.00,$42.00,$29.34,$38.58,$86.00,$88.00,$82.00,$84.00,$77.20,$79.20,$22.04 ,$26.88 ,$30.54 ,$39.78 ,$21.64 ,$26.48 ,$30.14 ,$39.38 
21.33 m / 70 ft,070FT,$42.62,$47.78,$24.80,$29.06,$21.64,$26.80,$39.46,$41.60,$35.46,$37.60,$30.66,$32.80,$45.86,$48.00,$41.86,$44.00,$30.70,$40.56,$90.66,$92.79,$86.66,$88.79,$81.86,$83.99,$22.84 ,$28.00 ,$31.90 ,$41.76 ,$22.44 ,$27.60 ,$31.50 ,$41.36 
22 m /  72.17 ft,022M,$43.02,$48.35,$25.20,$29.60,$22.04,$27.36,$40.20,$42.40,$36.20,$38.40,$31.40,$33.60,$46.80,$49.00,$42.80,$45.00,$31.39,$41.55,$93.00,$95.20,$89.00,$91.20,$84.20,$86.40,$23.24 ,$28.56 ,$32.59 ,$42.75 ,$22.84 ,$28.16 ,$32.19 ,$42.35 
22.86 m / 75 ft,075FT,$43.54,$49.07,$25.72,$30.29,$22.55,$28.08,$41.15,$43.43,$37.15,$39.43,$32.35,$34.63,$48.00,$50.29,$44.00,$46.29,$32.27,$42.83,$96.01,$98.30,$92.01,$94.30,$87.21,$89.50,$23.75 ,$29.28 ,$33.47 ,$44.03 ,$23.35 ,$28.88 ,$33.07 ,$43.63 
24.38 m / 80 ft,080FT,$44.44,$50.34,$26.63,$31.50,$23.46,$29.36,$42.82,$45.26,$38.82,$41.26,$34.02,$36.46,$50.13,$52.57,$46.13,$48.57,$33.82,$45.08,$101.33,$103.77,$97.33,$99.77,$92.53,$94.97,$24.66 ,$30.56 ,$35.02 ,$46.28 ,$24.26 ,$30.16 ,$34.62 ,$45.88 
25 m /  82.02 ft,025M,$44.82,$50.87,$27.00,$32.00,$23.83,$29.88,$43.50,$46.00,$39.50,$42.00,$34.70,$37.20,$51.00,$53.50,$47.00,$49.50,$34.46,$46.01,$103.50,$106.00,$99.50,$102.00,$94.70,$97.20,$25.03 ,$31.08 ,$35.66 ,$47.21 ,$24.63 ,$30.68 ,$35.26 ,$46.81 
27.43 m / 90 ft,090FT,$46.27,$52.91,$28.46,$33.94,$25.28,$31.92,$46.17,$48.92,$42.17,$44.92,$37.37,$40.12,$54.40,$57.15,$50.40,$53.15,$36.94,$49.61,$112.01,$114.75,$108.01,$110.75,$103.21,$105.95,$26.48 ,$33.12 ,$38.14 ,$50.81 ,$26.08 ,$32.72 ,$37.74 ,$50.41 
30 m /  98.42 ft,030M,$47.81,$55.07,$30.00,$36.00,$26.82,$34.08,$49.00,$52.00,$45.00,$48.00,$40.20,$43.20,$58.00,$61.00,$54.00,$57.00,$39.57,$53.43,$121.00,$124.00,$117.00,$120.00,$112.20,$115.20,$28.02 ,$35.28 ,$40.77 ,$54.63 ,$27.62 ,$34.88 ,$40.37 ,$54.23 
30.48 m /  100 ft,100FT,$48.09,$55.47,$30.29,$36.38,$27.11,$34.48,$49.53,$52.58,$45.53,$48.58,$40.73,$43.78,$58.67,$61.72,$54.67,$57.72,$40.06,$54.14,$122.68,$125.73,$118.68,$121.73,$113.88,$116.93,$28.31 ,$35.68 ,$41.26 ,$55.34 ,$27.91 ,$35.28 ,$40.86 ,$54.94 
33.52 m / 110 ft,110FT,$49.91,$58.02,$32.11,$38.82,$28.92,$37.04,$52.87,$56.22,$48.87,$52.22,$44.07,$47.42,$62.93,$66.28,$58.93,$62.28,$43.17,$58.66,$133.32,$136.67,$129.32,$132.67,$124.52,$127.87,$30.12 ,$38.24 ,$44.37 ,$59.86 ,$29.72 ,$37.84 ,$43.97 ,$59.46 
35 m / 114.82 ft,035M,$50.80,$59.27,$33.00,$40.00,$29.81,$38.28,$54.50,$58.00,$50.50,$54.00,$45.70,$49.20,$65.00,$68.50,$61.00,$64.50,$44.69,$60.86,$138.50,$142.00,$134.50,$138.00,$129.70,$133.20,$31.01 ,$39.48 ,$45.89 ,$62.06 ,$30.61 ,$39.08 ,$45.49 ,$61.66 
36.57 m / 120 ft,120FT,$51.73,$60.58,$33.94,$41.26,$30.75,$39.60,$56.23,$59.88,$52.23,$55.88,$47.43,$51.08,$67.20,$70.86,$63.20,$66.86,$46.29,$63.19,$144.00,$147.65,$140.00,$143.65,$135.20,$138.85,$31.95 ,$40.80 ,$47.49 ,$64.39 ,$31.55 ,$40.40 ,$47.09 ,$63.99 
38.1 m / 125 ft,125FT,$52.65,$61.87,$34.86,$42.48,$31.66,$40.88,$57.91,$61.72,$53.91,$57.72,$49.11,$52.92,$69.34,$73.15,$65.34,$69.15,$47.86,$65.46,$149.35,$153.16,$145.35,$149.16,$140.55,$144.36,$32.86 ,$42.08 ,$49.06 ,$66.66 ,$32.46 ,$41.68 ,$48.66 ,$66.26 
39.62 m / 130 ft,130FT,$53.56,$63.15,$35.77,$43.70,$32.57,$42.16,$59.58,$63.54,$55.58,$59.54,$50.78,$54.74,$71.47,$75.43,$67.47,$71.43,$49.41,$67.72,$154.67,$158.63,$150.67,$154.63,$145.87,$149.83,$33.77 ,$43.36 ,$50.61 ,$68.92 ,$33.37 ,$42.96 ,$50.21 ,$68.52 
40 m / 131.23 ft,040M,$53.79,$63.47,$36.00,$44.00,$32.80,$42.48,$60.00,$64.00,$56.00,$60.00,$51.20,$55.20,$72.00,$76.00,$68.00,$72.00,$49.80,$68.28,$156.00,$160.00,$152.00,$156.00,$147.20,$151.20,$34.00 ,$43.68 ,$51.00 ,$69.48 ,$33.60 ,$43.28 ,$50.60 ,$69.08 
42.67 m / 140 ft,140FT,$55.38,$65.71,$37.60,$46.14,$34.40,$44.72,$62.94,$67.20,$58.94,$63.20,$54.14,$58.40,$75.74,$80.01,$71.74,$76.01,$52.53,$72.24,$165.35,$169.61,$161.35,$165.61,$156.55,$160.81,$35.60 ,$45.92 ,$53.73 ,$73.44 ,$35.20 ,$45.52 ,$53.33 ,$73.04 
45.72 m / 150 ft,150FT,$57.21,$68.27,$39.43,$48.58,$36.22,$47.28,$66.29,$70.86,$62.29,$66.86,$57.49,$62.06,$80.01,$84.58,$76.01,$80.58,$55.65,$76.77,$176.02,$180.59,$172.02,$176.59,$167.22,$171.79,$37.42 ,$48.48 ,$56.85 ,$77.97 ,$37.02 ,$48.08 ,$56.45 ,$77.57 
48.76 m / 160 ft,160FT,$59.02,$70.82,$41.26,$51.01,$38.04,$49.84,$69.64,$74.51,$65.64,$70.51,$60.84,$65.71,$84.26,$89.14,$80.26,$85.14,$58.76,$81.29,$186.66,$191.54,$182.66,$187.54,$177.86,$182.74,$39.24 ,$51.04 ,$59.96 ,$82.49 ,$38.84 ,$50.64 ,$59.56 ,$82.09 
50 m / 164.04 ft,050M,$59.77,$71.87,$42.00,$52.00,$38.78,$50.88,$71.00,$76.00,$67.00,$72.00,$62.20,$67.20,$86.00,$91.00,$82.00,$87.00,$60.03,$83.13,$191.00,$196.00,$187.00,$192.00,$182.20,$187.20,$39.98 ,$52.08 ,$61.23 ,$84.33 ,$39.58 ,$51.68 ,$60.83 ,$83.93 
53.34 m / 175 ft,175FT,$61.76,$74.67,$44.00,$54.67,$40.78,$53.69,$74.67,$80.01,$70.67,$76.01,$65.87,$71.21,$90.68,$96.01,$86.68,$92.01,$63.45,$88.09,$202.69,$208.02,$198.69,$204.02,$193.89,$199.22,$41.98 ,$54.89 ,$64.65 ,$89.29 ,$41.58 ,$54.49 ,$64.25 ,$88.89 
54.86 m / 180 ft,180FT,$62.67,$75.95,$44.92,$55.89,$41.69,$54.96,$76.35,$81.83,$72.35,$77.83,$67.55,$73.03,$92.80,$98.29,$88.80,$94.29,$65.00,$90.35,$208.01,$213.50,$204.01,$209.50,$199.21,$204.70,$42.89 ,$56.16 ,$66.20 ,$91.55 ,$42.49 ,$55.76 ,$65.80 ,$91.15 
55 m / 180.44 ft,055M,$62.76,$76.07,$45.00,$56.00,$41.77,$55.08,$76.50,$82.00,$72.50,$78.00,$67.70,$73.20,$93.00,$98.50,$89.00,$94.50,$65.15,$90.56,$208.50,$214.00,$204.50,$210.00,$199.70,$205.20,$42.97 ,$56.28 ,$66.35 ,$91.76 ,$42.57 ,$55.88 ,$65.95 ,$91.36 
60.96 m / 200 ft,200FT,$66.32,$81.07,$48.58,$60.77,$45.33,$60.09,$83.06,$89.15,$79.06,$85.15,$74.26,$80.35,$101.34,$107.44,$97.34,$103.44,$71.24,$99.41,$229.36,$235.46,$225.36,$231.46,$220.56,$226.66,$46.53 ,$61.29 ,$72.44 ,$100.61 ,$46.13 ,$60.89 ,$72.04 ,$100.21 
65 m / 213.25 ft,065M,$68.74,$84.47,$51.00,$64.00,$47.75,$63.48,$87.50,$94.00,$83.50,$90.00,$78.70,$85.20,$107.00,$113.50,$103.00,$109.50,$75.38,$105.41,$243.50,$250.00,$239.50,$246.00,$234.70,$241.20,$48.95 ,$64.68 ,$76.58 ,$106.61 ,$48.55 ,$64.28 ,$76.18 ,$106.21 
